standard_name
aggregate_quality_flag
air_density
air_pressure
air_pressure_at_mean_sea_level
air_temperature
air_temperature_sample_count
air_temperature_standard_deviations
cell_thickness
concentration_of_chlorophyll-a_in_water_body
concentration_of_colored_dissolved_organic_matter_in_sea_water_expressed_as_equivalent_mass_fraction_of_quinine_sulfate_dihydrate
crossing_number
depth
dew_point_temperature
direction_of_sea_water_velocity
dissolved_oxygen_concentration
downwelling_photosynthetic_photon_radiance_in_sea_water
downwelling_photosynthetic_photon_spherical_irradiance_in_sea_water
downwelling_shortwave_flux_in_air
dry_atmosphere_mole_fraction_of_carbon_dioxide
e1f
e1t
e1u
e1v
e2f
e2t
e2u
e2v
e3t_0
e3u_0
e3v_0
e3w_0
eastward_sea_water_velocity
eastward_sea_water_velocity_upper_10_grid_levels
eastward_sea_water_velocity_upper_5_grid_levels
eastward_surface_stokes_drift
eastward_wave_to_ocean_stress
eastward_wind
ff
fmask
fmaskutil
fractional_saturation_of_oxygen_in_sea_water
fraser_river_turbidity_tracer
fugacity_of_carbon_dioxide_in_sea_water
gdept_0
gdepu
gdepv
gdepw_0
glamf
glamt
glamu
glamv
gphif
gphit
gphiu
gphiv
humidity_mixing_ratio
instrument_depth
latitude
longitude
mass_concentration_of_chlorophyll_a_in_sea_water
mass_concentration_of_chlorophyll_in_sea_water
mass_concentration_of_nitrate_in_sea_water
mass_concentration_of_water_vapor_in_air
mass_fraction_of_cdom_fluorescence_in_sea_water
mass_fraction_of_cdom_fluorescence_in_sea_water_sample_count
mass_fraction_of_cdom_fluorescence_in_sea_water_standard_deviation
mass_fraction_of_chlorophyll_in_sea_water
mass_fraction_of_chlorophyll_in_sea_water_sample_count
mass_fraction_of_chlorophyll_in_sea_water_standard_deviation
mbathy
mean_wave_length
mole_concentration_of_ammonium_in_sea_water
mole_concentration_of_diatoms_expressed_as_nitrogen_in_sea_water
mole_concentration_of_flagellates_expressed_as_nitrogen_in_sea_water
mole_concentration_of_mesodinium_rubrum_expressed_as_nitrogen_in_sea_water
mole_concentration_of_mesozooplankton_expressed_as_nitrogen_in_sea_water
mole_concentration_of_microzooplankton_expressed_as_nitrogen_in_sea_water
mole_concentration_of_nitrate_and_nitrite_in_sea_water
mole_concentration_of_nitrate_in_sea_water
mole_concentration_of_organic_detritus_expressed_as_nitrogen_in_sea_water
mole_concentration_of_organic_detritus_expressed_as_silicon_in_sea_water
mole_concentration_of_particulate_organic_matter_expressed_as_nitrogen_in_sea_water
mole_concentration_of_phosphate_in_sea_water
mole_concentration_of_silicate_in_sea_water
mole_fraction_of_carbon_dioxide_in_sea_water
mole_fraction_of_carbon_dioxide_in_sea_water_sample_count
mole_fraction_of_carbon_dioxide_in_sea_water_standard_deviation
moles_of_oxygen_per_unit_mass_in_sea_water
nemo_grid_i
nemo_grid_j
northward_sea_water_velocity
northward_sea_water_velocity_upper_10_grid_levels
northward_sea_water_velocity_upper_5_grid_levels
northward_surface_stokes_drift
northward_wave_to_ocean_stress
northward_wind
ocean_vertical_heat_diffusivity
ocean_vertical_momentum_diffusivity
on_crossing_mask
partial_pressure_of_carbon_dioxide_in_sea_water
percent_saturation_of_oxygen_in_sea_water
percent_saturation_of_oxygen_in_sea_water_sample_count
percent_saturation_of_oxygen_in_sea_water_standard_deviation
platform_id
platform_orientation
platform_pitch
platform_roll
platform_speed_wrt_sea_water
projection_x_coordinate
projection_y_coordinate
quality_flag
rainfall_amount
relative_humidity
relative_humidity_sample_count
relative_humidity_standard_deviation
sea_floor_depth
sea_surface_height
sea_surface_height_above_geoid
sea_surface_practical_salinity
sea_surface_salinity
sea_surface_swell_wave_period
sea_surface_temperature
sea_surface_wave_directional_spread_at_variance_spectral_density_maximum
sea_surface_wave_from_direction
sea_surface_wave_from_direction_at_variance_spectral_density_maximum
sea_surface_wave_maximum_crest_height
sea_surface_wave_maximum_height
sea_surface_wave_mean_height
sea_surface_wave_mean_height_of_highest_tenth
sea_surface_wave_mean_period
sea_surface_wave_mean_period_from_variance_spectral_density_inverse_frequency_moment
sea_surface_wave_mean_period_of_highest_tenth
sea_surface_wave_peak_direction
sea_surface_wave_peak_frequency
sea_surface_wave_period_at_variance_spectral_density_maximum
sea_surface_wave_period_of_highest_wave
sea_surface_wave_significant_height
sea_surface_wave_significant_period
sea_surface_wave_to_direction
sea_surface_wind_wave_mean_period_from_variance_spectral_density_second_frequency_moment
sea_water_conservative_temperature
sea_water_density
sea_water_electical_conductivity
sea_water_electical_conductivity_sample_count
sea_water_electical_conductivity_standard_deviation
sea_water_electrical_conductivity
sea_water_ph_reported_on_total_scale
sea_water_practical_salinity
sea_water_pressure
sea_water_pressure_at_sea_floor
sea_water_pressure_due_to_sea_water
sea_water_reference_salinity
sea_water_reference_salinity_sample_count
sea_water_reference_salinity_standard_deviation
sea_water_salinity
sea_water_sigma_t
sea_water_sigma_theta
