,@id,prefLabel,udunits
66,http://vocab.nerc.ac.uk/collection/P06/current/PMPS/,per metre per second,m-1 s-1
67,http://vocab.nerc.ac.uk/collection/P06/current/KMDY/,Kilometres per day,km day-1
68,http://vocab.nerc.ac.uk/collection/P06/current/UPMD/,Picomoles per square metre per day,pmol m-2 day-1
69,http://vocab.nerc.ac.uk/collection/P06/current/SQCC/,Square centimetres per cubic centimetre,square cm cm-3
70,http://vocab.nerc.ac.uk/collection/P06/current/MBYT/,Megabytes,Mbyte
71,http://vocab.nerc.ac.uk/collection/P06/current/UMLL/,Millilitres per litre,ml l-1
72,http://vocab.nerc.ac.uk/collection/P06/current/UGMS/,Grams per square metre,g m-2
73,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,Degrees Celsius,degree_C
74,http://vocab.nerc.ac.uk/collection/P06/current/SQMS/,Square metres per second,m2 s-1
75,http://vocab.nerc.ac.uk/collection/P06/current/UYAD/,Gregorian calendar years anno Domini,gregorian calendar year anno Domini
76,http://vocab.nerc.ac.uk/collection/P06/current/UMAA/,Nanoteslas,gamma
77,http://vocab.nerc.ac.uk/collection/P06/current/MGLH/,Micrograms per litre per hour,ug l-1 hour-1
78,http://vocab.nerc.ac.uk/collection/P06/current/UNMD/,Nanomoles per litre per day,nmol l-1 day-1
79,http://vocab.nerc.ac.uk/collection/P06/current/KMP2/,Kilograms per square metre,kg m-2
80,http://vocab.nerc.ac.uk/collection/P06/current/UFPD/,per female per day,female-1 day-1
81,http://vocab.nerc.ac.uk/collection/P06/current/PG01/,per gram,g-1
82,http://vocab.nerc.ac.uk/collection/P06/current/PAPS/,Pascals per second,Pa s-1
83,http://vocab.nerc.ac.uk/collection/P06/current/PPTR/,Parts per trillion,parts trillion-1
84,http://vocab.nerc.ac.uk/collection/P06/current/NCM3/,Number per cubic centimetre,number cm-3
85,http://vocab.nerc.ac.uk/collection/P06/current/M2HD/,Square metres per Hertz per degree,m2 Hz-1 degree-1
86,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/,Milligrams per cubic metre,mg m-3
87,http://vocab.nerc.ac.uk/collection/P06/current/NGKG/,Nanograms per kilogram,ng kg-1
88,http://vocab.nerc.ac.uk/collection/P06/current/UGDX/,Milligrams per square metre per day,mg m-2 day-1
89,http://vocab.nerc.ac.uk/collection/P06/current/M3PS/,per cubic metre per second,m-3 s-1
90,http://vocab.nerc.ac.uk/collection/P06/current/UVBB/,Centimetres per second,cm s-1
91,http://vocab.nerc.ac.uk/collection/P06/current/UUPH/,pH units,pH amu(cd m-2)
92,http://vocab.nerc.ac.uk/collection/P06/current/UMMS/,Milligrams per square metre,mg m-2
93,http://vocab.nerc.ac.uk/collection/P06/current/NHTR/,Number per hectare,number hectare-1
94,http://vocab.nerc.ac.uk/collection/P06/current/BQM3/,Becquerels per cubic metre,Bq m-3
